iguanaID,spot,tx,diet,lps,time,svl
1,R1-L1,G-C,g,c,0317svl,119
1,R1-L1,G-C,g,c,0525svl,125
1,R1-L1,G-C,g,c,0625svl,137
2,R1-L2,W-L,w,l,0317svl,128
2,R1-L2,W-L,w,l,0525svl,121
2,R1-L2,W-L,w,l,0625svl,132
3,R1-L1,G-C,g,c,0317svl,111
3,R1-L1,G-C,g,c,0525svl,127
3,R1-L1,G-C,g,c,0625svl,132
4,R1-L1,G-L,g,l,0317svl,127
4,R1-L1,G-L,g,l,0525svl,123
4,R1-L1,G-L,g,l,0625svl,132
5,R1-L2,W-L,w,l,0317svl,110
5,R1-L2,W-L,w,l,0525svl,109
5,R1-L2,W-L,w,l,0625svl,114
6,R1-L2,W-C,w,c,0317svl,124
6,R1-L2,W-C,w,c,0525svl,115
6,R1-L2,W-C,w,c,0625svl,125
7,R1-L1,G-C,g,c,0317svl,127
7,R1-L1,G-C,g,c,0525svl,132
7,R1-L1,G-C,g,c,0625svl,137
8,R1-L3,G-L,g,l,0317svl,131
8,R1-L3,G-L,g,l,0525svl,128
8,R1-L3,G-L,g,l,0625svl,133
9,R1-L2,W-C,w,c,0317svl,114
9,R1-L2,W-C,w,c,0525svl,121
9,R1-L2,W-C,w,c,0625svl,120
10,R1-L4,W-L,w,l,0317svl,122
10,R1-L4,W-L,w,l,0525svl,120
10,R1-L4,W-L,w,l,0625svl,119
11,R1-L3,G-C,g,c,0317svl,122
11,R1-L3,G-C,g,c,0525svl,125
11,R1-L3,G-C,g,c,0625svl,123
12,R1-L4,W-L,w,l,0317svl,117
12,R1-L4,W-L,w,l,0525svl,120
12,R1-L4,W-L,w,l,0625svl,115
13,R1-L3,G-C,g,c,0317svl,115
13,R1-L3,G-C,g,c,0525svl,112
13,R1-L3,G-C,g,c,0625svl,118
14,R1-L3,G-L,g,l,0317svl,127
14,R1-L3,G-L,g,l,0525svl,126
14,R1-L3,G-L,g,l,0625svl,124
15,R2-L2,G-C,g,c,0317svl,123
15,R2-L2,G-C,g,c,0525svl,134
15,R2-L2,G-C,g,c,0625svl,134
16,R1-L4,W-C,w,c,0317svl,135
16,R1-L4,W-C,w,c,0525svl,123
16,R1-L4,W-C,w,c,0625svl,132
17,R1-L4,W-L,w,l,0317svl,124
17,R1-L4,W-L,w,l,0525svl,129
17,R1-L4,W-L,w,l,0625svl,123
18,R2-L2,G-C,g,c,0317svl,109
18,R2-L2,G-C,g,c,0525svl,115
18,R2-L2,G-C,g,c,0625svl,124
19,R2-L1,W-C,w,c,0317svl,111
19,R2-L1,W-C,w,c,0525svl,112
19,R2-L1,W-C,w,c,0625svl,118
20,R2-L1,W-C,w,c,0317svl,116
20,R2-L1,W-C,w,c,0525svl,123
20,R2-L1,W-C,w,c,0625svl,123
21,R2-L1,W-L,w,l,0317svl,138
21,R2-L1,W-L,w,l,0525svl,141
21,R2-L1,W-L,w,l,0625svl,133
22,R2-L2,G-L,g,l,0317svl,113
22,R2-L2,G-L,g,l,0525svl,121
22,R2-L2,G-L,g,l,0625svl,117
23,R2-L2,G-C,g,c,0317svl,122
23,R2-L2,G-C,g,c,0525svl,121
23,R2-L2,G-C,g,c,0625svl,127
24,R2-L2,G-L,g,l,0317svl,124
24,R2-L2,G-L,g,l,0525svl,126
24,R2-L2,G-L,g,l,0625svl,125
25,R2-L4,G-C,g,c,0317svl,115
25,R2-L4,G-C,g,c,0525svl,117
25,R2-L4,G-C,g,c,0625svl,117
26,R2-L1,W-L,w,l,0317svl,125
26,R2-L1,W-L,w,l,0525svl,121
26,R2-L1,W-L,w,l,0625svl,122
27,R2-L1,W-C,w,c,0317svl,123
27,R2-L1,W-C,w,c,0525svl,125
27,R2-L1,W-C,w,c,0625svl,123
28,R2-L4,G-L,g,l,0317svl,133
28,R2-L4,G-L,g,l,0525svl,133
28,R2-L4,G-L,g,l,0625svl,136
29,R2-L4,G-L,g,l,0317svl,115
29,R2-L4,G-L,g,l,0525svl,121
29,R2-L4,G-L,g,l,0625svl,126
30,R2-L3,W-C,w,c,0317svl,110
30,R2-L3,W-C,w,c,0525svl,107
30,R2-L3,W-C,w,c,0625svl,122
31,R2-L4,G-L,g,l,0317svl,112
31,R2-L4,G-L,g,l,0525svl,111
31,R2-L4,G-L,g,l,0625svl,114
32,R2-L3,W-L,w,l,0317svl,107
32,R2-L3,W-L,w,l,0525svl,111
32,R2-L3,W-L,w,l,0625svl,108
33,R2-L3,W-C,w,c,0317svl,110
33,R2-L3,W-C,w,c,0525svl,112
33,R2-L3,W-C,w,c,0625svl,114
34,R2-L3,W-C,w,c,0317svl,135
34,R2-L3,W-C,w,c,0525svl,132
34,R2-L3,W-C,w,c,0625svl,133
35,R2-L3,W-L,w,l,0317svl,117
35,R2-L3,W-L,w,l,0525svl,120
35,R2-L3,W-L,w,l,0625svl,125
36,R2-L4,G-L,g,l,0317svl,110
36,R2-L4,G-L,g,l,0525svl,109
36,R2-L4,G-L,g,l,0625svl,105
